station,lat,long,date,temp
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T09:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T10:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T10:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T11:00:00,67
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T11:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T12:00:00,71
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T12:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T13:00:00,75
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T13:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T14:00:00,76
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T14:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T15:00:00,79
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T15:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T16:00:00,75
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T16:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T17:00:00,74
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T17:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T18:00:00,70
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T18:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T20:00:00,63
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T20:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T21:00:00,62
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T21:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T22:00:00,61
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T22:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T23:00:00,60
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-17T23:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T00:00:00,59
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T00:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T01:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T01:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T02:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T02:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T03:00:00,57
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T03:00:00,
"HUDSON RIVER RESERVE, NY US",42.0166666,-73.9166666,2024-09-18T04:00:00,56
